player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Chelitaxp-Ragnaros,2026/03/26,21:01:00,1774576947-10,[Robes of the Voidbound],249310,item:249310::::::::90:268::3:4:6652:13577:13333:12785,Upgrade,0,SHAMAN,The Voidspire-Normal,Imperator Averzian,14,2912,26,|cnIQ3:|Hitem:249645::::::::90:268::126:3:6652:13578:12772:1:28:6018:::::|h[Elder Mossmail]|h|r,,2,false,Mail,Chest,,Garompinax-Ragnaros
Chelitaxp-Ragnaros,2026/03/26,21:05:00,1774577171-13,[Sabatons of Obscurement],249320,item:249320::::::::90:268::3:4:6652:13577:13333:12785,Upgrade,0,SHAMAN,The Voidspire-Normal,Imperator Averzian,14,2912,26,|cnIQ4:|Hitem:251084::::::::90:268::23:5:12785:13439:6652:13577:12699:1:28:3025:::::|h[Whipcoil Sabatons]|h|r,,2,false,Mail,Feet,,Garompinax-Ragnaros
Stabbyvoodo-Illidan,2026/03/25,23:55:00,1774500982-4,[Scornbane Waistguard],249371,item:249371::::::::90:268::5:5:6652:12667:13577:13334:12794,Upgrade,0,SHAMAN,The Voidspire-Heroic,Chimaerus the Undreamt God,15,2939,23,|cnIQ4:|Hitem:263268::::::::90:268::42:2:13577:12787:1:28:4240:::::|h[Hara'ti Defender's Belt]|h|r,,2,false,Mail,Waist,,Garompinax-Ragnaros
Magobyron-Ragnaros,2026/03/18,23:04:00,1773893079-2,[Despotic Raiment],249308,item:249308::::::::90:268::3:4:6652:13577:13333:12786,BIS,2,MAGE,The Voidspire-Normal,Fallen-King Salhadaar,14,2912,29,|cnIQ4:|Hitem:259917:7987:::::::90:268::42:3:12785:6652:13577:1:28:5236:::::|h[Preyseeker's Refined Vestments]|h|r,,1,false,Cloth,Chest,,Garompinax-Ragnaros
Magobyron-Ragnaros,2026/03/18,23:27:00,1773894427-22,[Voidwoven Fanatical Nullcore],249355,item:249355::::::::90:268::3:3:13347:13338:13333:1:28:3607,BIS,1,MAGE,The Voidspire-Normal,Lightblinded Vanguard,14,2912,29,|cnIQ4:|Hitem:266429:8014:::::::90:268::42:2:13577:12786:1:28:4240:::::|h[Silvermoon Sunspire]|h|r,,1,false,Armor Token,,,Garompinax-Ragnaros
Magobyron-Ragnaros,2026/03/18,23:48:00,1773895757-2,[Alnwoven Riftbloom],249347,item:249347::::::::90:268::3:2:13333:13346,BIS,0,MAGE,The Dreamrift-Normal,Chimaerus the Undreamt God,14,2939,27,|cnIQ4:|Hitem:259917:7987:::::::90:268::42:3:12785:6652:13577:1:28:5236:::::|h[Preyseeker's Refined Vestments]|h|r,,1,false,Armor Token,,,Garompinax-Ragnaros
Magobyron-Ragnaros,2026/03/18,23:49:00,1773895815-4,[Gaze of the Alnseer],249343,item:249343::::::::90:268::3:3:6652:13333:12786,BIS,1,MAGE,The Dreamrift-Normal,Chimaerus the Undreamt God,14,2939,27,|cnIQ4:|Hitem:250258::::::::90:268::23:4:13439:6652:12699:12782:1:28:3025:::::|h[Vessel of Tortured Souls]|h|r,|cnIQ4:|Hitem:264507::::::::90:268::42:1:12785:1:28:4240:::::|h[Crucible of Erratic Energies]|h|r,1,false,Miscellaneous,Trinket,,Garompinax-Ragnaros
Illinhia-Area52,2026/03/18,23:15:00,1773893692-6,[Vaelgor's Fearsome Grasp],249321,item:249321::::::::90:268::3:4:43:13577:13333:12787,BIS,1,DEMONHUNTER,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,29,|cnIQ4:|Hitem:251113::::::::90:268::23:5:13439:6652:12699:13577:12782:1:28:3025:::::|h[Gloves of Viscous Goo]|h|r,,1,false,Leather,Hands,,Garompinax-Ragnaros
Illinhia-Area52,2026/03/18,23:16:00,1773893782-8,[Emblazoned Sunglaive],249280,item:249280::::::::90:268::3:3:6652:13333:12787,BIS,1,DEMONHUNTER,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,29,|cnIQ4:|Hitem:250451:8038:::::::90:268::81:3:6652:13333:12787:1:28:4907:::::|h[Dawncrazed Beast Cleaver]|h|r,|cnIQ4:|Hitem:251106:8038:::::::90:268::23:4:12785:13439:6652:12701:1:28:3025:::::|h[Resolute Runeglaive]|h|r,1,false,Warglaives,One-Hand,,Garompinax-Ragnaros
Illinhia-Area52,2026/03/18,23:25:00,1773894317-12,[Devouring Night's Visage],249306,item:249306::::::::90:268::3:5:6652:12667:13577:13333:12785,BIS,1,DEMONHUNTER,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,29,|cnIQ4:|Hitem:266430:8016:::::::90:268::42:2:13577:12785:1:28:4240:::::|h[Silvermoon Sunguard]|h|r,,1,false,Leather,Head,stats bis,Garompinax-Ragnaros
